ensembl_gene_id;external_gene_name;chromosome_name;start_position;end_position;strand
ENSMUSG00000007783;Cpt1c;7;44608796;44624275;-1
ENSMUSG00000007805;Twist2;1;91729183;91775750;1
ENSMUSG00000007812;Zfp655;5;145168525;145184112;1
ENSMUSG00000007815;Rhoa;9;108183328;108215133;1
ENSMUSG00000007817;Zmiz1;14;25459609;25667167;1
ENSMUSG00000007827;Ankrd26;6;118478269;118539187;-1
ENSMUSG00000007833;Aldh16a1;7;44790108;44804008;-1
ENSMUSG00000007836;Hnrnpa0;13;58273693;58276370;-1
ENSMUSG00000007837;Prrg2;7;44703008;44712101;-1
ENSMUSG00000007850;Hnrnph1;11;50267817;50277355;1
ENSMUSG00000007867;Ift43;12;86129315;86209233;1
ENSMUSG00000007872;Id3;4;135870808;135873066;1
ENSMUSG00000007880;Arid1a;4;133406319;133484080;-1
ENSMUSG00000007888;Crlf1;8;70945808;70956731;1
ENSMUSG00000007891;Ctsd;7;141929648;141941775;-1
ENSMUSG00000007892;Rplp1;9;61820566;61821824;-1
ENSMUSG00000007908;Hmgcll1;9;75922137;76043632;1
ENSMUSG00000007950;Abhd8;8;71909349;71916299;-1
ENSMUSG00000007987;Ift22;5;136937004;136944258;1
ENSMUSG00000007989;Fzd3;14;65429898;65499912;-1
ENSMUSG00000008028;1700008O03Rik;7;44009467;44035244;-1
ENSMUSG00000008035;Mid1ip1;X;10581252;10585929;1
ENSMUSG00000008036;Ap2s1;7;16472335;16483219;1
ENSMUSG00000008090;Fgfrl1;5;108840248;108854790;1
ENSMUSG00000008136;Fhl2;1;43162234;43236144;-1
ENSMUSG00000008140;Emc10;7;44139361;44145953;-1
ENSMUSG00000008153;Clstn3;6;124407540;124441753;-1
ENSMUSG00000008167;Fbxw9;8;85786684;85793753;1
ENSMUSG00000008193;Spib;7;44175417;44181495;-1
ENSMUSG00000008200;Fnbp4;2;90575714;90611365;1
ENSMUSG00000008206;Cers4;8;4543026;4581680;1
ENSMUSG00000008226;Scrn3;2;73142945;73168162;1
ENSMUSG00000008301;Phax;18;56695515;56720784;1
ENSMUSG00000008305;Tle1;4;72035379;72119156;-1
ENSMUSG00000008307;1700109H08Rik;5;3621566;3634356;1
ENSMUSG00000008318;Relt;7;100495054;100512653;-1
ENSMUSG00000008333;Snrpb2;2;142904959;142914773;1
ENSMUSG00000008348;Ubc;5;125463029;125467266;-1
ENSMUSG00000008373;Prpf31;7;3632984;3645485;1
ENSMUSG00000008384;Sertad1;7;27186335;27189741;1
ENSMUSG00000008393;Carhsp1;16;8476444;8490019;-1
ENSMUSG00000008398;Elk3;10;93083276;93146997;-1
ENSMUSG00000008429;Herpud2;9;25019428;25063116;-1
ENSMUSG00000008435;Rdh13;7;4427769;4448648;-1
ENSMUSG00000008450;Nutf2;8;106587212;106605962;1
ENSMUSG00000008461;Fut1;7;45266713;45270483;1
ENSMUSG00000008475;Arpc5;1;152642293;152651348;1
ENSMUSG00000008496;Pou2f2;7;24786769;24879151;-1
ENSMUSG00000008540;Mgst1;6;138117314;138133753;1
ENSMUSG00000008575;Nfib;4;82208410;82623987;-1
ENSMUSG00000008590;Htr3b;9;48846308;48876290;-1
ENSMUSG00000008601;Rab25;3;88449336;88455607;-1
ENSMUSG00000008604;Ubqln4;3;88461065;88477032;1
ENSMUSG00000008658;Rbfox1;16;5703219;7229390;1
ENSMUSG00000008668;Rps18;17;34170973;34174975;-1
ENSMUSG00000008682;Rpl10;X;73314418;73316741;1
ENSMUSG00000008683;Rps15a;7;117703595;117715411;-1
ENSMUSG00000008690;Ncaph2;15;89239922;89257029;1
ENSMUSG00000008730;Hipk1;3;103647131;103698879;-1
ENSMUSG00000008734;Gprc5b;7;118571270;118594434;-1
ENSMUSG00000008763;Man1a2;3;100469524;100592819;-1
ENSMUSG00000008822;Acyp1;12;85319172;85335212;-1
ENSMUSG00000008845;Cd163;6;124281615;124307486;1
ENSMUSG00000008855;Hdac5;11;102085258;102120992;-1
ENSMUSG00000008859;Rala;13;18055156;18118824;-1
ENSMUSG00000008892;Vdac3;8;23067091;23083829;-1
ENSMUSG00000008932;Slc1a7;4;107825529;107870729;1
ENSMUSG00000008958;Vps72;3;95018333;95030362;1
ENSMUSG00000008976;Gabpa;16;84631813;84660667;1
ENSMUSG00000008999;Bmp7;2;172709805;172782114;-1
ENSMUSG00000009013;Dynll1;5;115435169;115439058;-1
ENSMUSG00000009030;Pdcl;2;37240086;37249344;-1
ENSMUSG00000009035;Tmem184b;15;79244884;79287769;-1
ENSMUSG00000009070;Rsph14;10;74793309;74868418;-1
ENSMUSG00000009073;Nf2;11;4715845;4799536;-1
ENSMUSG00000009076;Zmat5;11;4654678;4687669;1
ENSMUSG00000009079;Ewsr1;11;5019689;5049266;-1
ENSMUSG00000009090;Ap1b1;11;4936824;4992791;1
ENSMUSG00000009092;Derl3;10;75729247;75731775;1
ENSMUSG00000009112;Bcl2l13;6;120813173;120869803;1
ENSMUSG00000009115;Spatc1l;10;76398106;76406035;1
ENSMUSG00000009145;Dqx1;6;83034825;83044299;1
ENSMUSG00000009185;Ccl8;11;82006011;82007625;1
ENSMUSG00000009207;Lnpk;2;74350635;74409779;-1
ENSMUSG00000009246;Trpm5;7;142622890;142648379;-1
ENSMUSG00000009281;Rarres2;6;48546630;48549723;-1
ENSMUSG00000009291;Pttg1ip;10;77417554;77434566;1
ENSMUSG00000009292;Trpm2;10;77743556;77806397;-1
ENSMUSG00000009293;Ube2g2;10;77458109;77481827;1
ENSMUSG00000009376;Met;6;17463799;17573979;1
ENSMUSG00000009378;Slc16a12;19;34645803;34724689;-1
ENSMUSG00000009394;Syn2;6;115111863;115258967;1
ENSMUSG00000009406;Elk1;X;20799634;20816847;-1
ENSMUSG00000009418;Nav1;1;135362318;135615843;-1
ENSMUSG00000009470;Tnpo1;13;98975527;99062892;-1
ENSMUSG00000009487;Otog;7;45890411;45960858;1
ENSMUSG00000009535;Rnmt;18;68433426;68457923;1
ENSMUSG00000009545;Kcnq1;7;142660099;142980779;1
ENSMUSG00000009549;Srp14;2;118306331;118310192;-1
ENSMUSG00000009555;Cdk9;2;32595796;32603088;-1
ENSMUSG00000009563;Tor2a;2;32647246;32652256;1
ENSMUSG00000009566;Fpgs;2;32572621;32594157;-1
ENSMUSG00000009569;Mrtfb;16;13074345;13235393;1
ENSMUSG00000009575;Cbx5;15;103099971;103148243;-1
ENSMUSG00000009585;Apobec3;15;79775860;79800107;1
ENSMUSG00000009588;St6galnac1;11;116655851;116666333;-1
ENSMUSG00000009614;Sardh;2;27078405;27138349;-1
ENSMUSG00000009621;Vav2;2;27152116;27317045;-1
ENSMUSG00000009628;Tex15;8;34006766;34075610;1
ENSMUSG00000009630;Ppp2cb;8;34089653;34109469;1
ENSMUSG00000009633;G0s2;1;192954469;192955525;-1
ENSMUSG00000009640;Dmap1;4;117531878;117539470;-1
ENSMUSG00000009646;Pla2g12b;10;59239482;59257798;1
ENSMUSG00000009647;Mcu;10;59282806;59452514;-1
ENSMUSG00000009681;Bcr;10;74896424;75020753;1
ENSMUSG00000009687;Fxyd5;7;30732147;30741906;-1
ENSMUSG00000009731;Kcnd1;X;7688528;7704519;1
ENSMUSG00000009733;Tfcp2;15;100395893;100449889;-1
ENSMUSG00000009734;Pou6f2;13;18295683;18572271;-1
ENSMUSG00000009739;Pou6f1;15;100473199;100497865;-1
ENSMUSG00000009741;Ubp1;9;113760002;113806270;1
ENSMUSG00000009772;Nuak2;1;132243864;132261226;1
ENSMUSG00000009828;Cilk1;9;78016474;78079389;1
ENSMUSG00000009863;Sdhb;4;140688514;140706504;1
ENSMUSG00000009894;Snap47;11;59297960;59342012;-1
ENSMUSG00000009905;Kdsr;1;106648189;106687457;-1
ENSMUSG00000009907;Vps4b;1;106691801;106724458;-1
ENSMUSG00000009927;Rps25;9;44318436;44321724;1
ENSMUSG00000009995;Taz;X;73325518;73333757;1
ENSMUSG00000010025;Aldh3a2;11;61114243;61158290;-1
ENSMUSG00000010044;Zmynd10;9;107424497;107428518;1
ENSMUSG00000010045;Tmem115;9;107411144;107415872;1
ENSMUSG00000010047;Hyal2;9;107445144;107449978;1
ENSMUSG00000010048;Ifrd2;9;107464841;107470584;1
ENSMUSG00000010051;Hyal1;9;107454126;107458909;1
ENSMUSG00000010054;Tusc2;9;107440454;107443311;1
ENSMUSG00000010057;Nprl2;9;107419425;107422905;1
ENSMUSG00000010064;Slc38a3;9;107527833;107546729;-1
ENSMUSG00000010066;Cacna2d2;9;107276811;107406542;1
ENSMUSG00000010067;Rassf1;9;107428754;107439466;1
ENSMUSG00000010080;Epn3;11;94380425;94390800;-1
ENSMUSG00000010095;Slc3a2;19;8684246;8700733;-1
ENSMUSG00000010097;Nxf1;19;8734437;8748286;1
ENSMUSG00000010110;Stx5a;19;8718777;8733433;1
ENSMUSG00000010122;Slc47a1;11;61234227;61269171;-1
ENSMUSG00000010154;Spire2;8;124059452;124096254;1
ENSMUSG00000010175;Prox1;1;189850232;189902911;-1
ENSMUSG00000010205;Raver1;9;20985454;21003304;-1
ENSMUSG00000010277;2610507B11Rik;11;78152578;78181449;1
ENSMUSG00000010290;AI597479;1;43137870;43155107;1
ENSMUSG00000010307;Tmem86a;7;46700349;46704525;1
ENSMUSG00000010311;Optc;1;133824937;133835737;-1
ENSMUSG00000010358;Ifi35;11;101339233;101349524;1
ENSMUSG00000010362;Rdm1;11;101518021;101526926;1
ENSMUSG00000010376;Nedd8;14;55899720;55909581;-1
ENSMUSG00000010392;Gosr1;11;76617428;76654405;-1
ENSMUSG00000010406;Mrpl52;14;54664366;54667213;1
ENSMUSG00000010435;Spaca7;8;12623029;12650744;1
ENSMUSG00000010453;Kansl3;1;36374811;36408262;-1
ENSMUSG00000010461;Eya4;10;22978862;23226684;-1
ENSMUSG00000010476;Ebf3;7;136795402;136916174;-1
ENSMUSG00000010492;Uckl1os;2;181220273;181226963;1
ENSMUSG00000010505;Myt1;2;181405125;181469590;1
ENSMUSG00000010517;Faf1;4;109533785;109821157;1
ENSMUSG00000010538;Tsacc;3;88190064;88204306;-1
ENSMUSG00000010554;Mettl16;11;74661656;74719351;1
ENSMUSG00000010607;Pigyl;9;22068142;22069654;1
ENSMUSG00000010608;Rbm25;12;83678010;83729897;1
ENSMUSG00000010609;Psen2;1;180054569;180091003;-1
ENSMUSG00000010651;Acaa1b;9;118977091;118986161;-1
ENSMUSG00000010660;Plcd1;9;118900595;118922570;-1
ENSMUSG00000010663;Fads1;19;10160252;10174241;1
ENSMUSG00000010721;Lmbr1;5;29434800;29583388;-1
ENSMUSG00000010751;Tnfrsf22;7;143188543;143203398;-1
ENSMUSG00000010755;Cars;7;143110967;143153827;-1
ENSMUSG00000010760;Phlda2;7;143055282;143056887;-1
ENSMUSG00000010825;Grid2ip;5;143343093;143377907;1
ENSMUSG00000010830;Kdelr3;15;79400612;79411940;1
ENSMUSG00000010911;Apip;2;102904020;102922989;1
ENSMUSG00000010914;Pdhx;2;102851420;102903858;-1
ENSMUSG00000010936;Vac14;8;111345217;111447030;1
ENSMUSG00000011008;Mcoln2;3;145855588;145901268;1
ENSMUSG00000011034;Slc5a1;5;33261563;33320214;1
ENSMUSG00000011096;Akt1s1;7;44498415;44504845;1
ENSMUSG00000011114;Tbrg1;9;37560059;37568608;-1
ENSMUSG00000011158;Brf1;12;112923705;112964324;-1
ENSMUSG00000011171;Vipr2;12;116041346;116109881;1
ENSMUSG00000011179;Odc1;12;17594795;17601506;1
ENSMUSG00000011254;Thg1l;11;45837670;45846321;-1
ENSMUSG00000011256;Adam19;11;45946819;46038170;1
ENSMUSG00000011257;Pabpc4;4;123156144;123192718;1
ENSMUSG00000011263;Exoc3l2;7;19197256;19230687;1
ENSMUSG00000011305;Plin5;17;56418601;56424596;-1
ENSMUSG00000011306;Sugp1;8;70495463;70524997;1
ENSMUSG00000011382;Dhdh;7;45120411;45138229;-1
ENSMUSG00000011427;Zfp790;7;29515539;29530430;1
ENSMUSG00000011658;Fuz;7;44545503;44552055;1
ENSMUSG00000011752;Pgam1;19;41900362;41907099;1
ENSMUSG00000011831;Evi5;5;107892661;108022973;-1
ENSMUSG00000011832;Evi5l;8;4216567;4261257;1
ENSMUSG00000011837;Snapc2;8;4303080;4306220;1
ENSMUSG00000011877;Git1;11;77384388;77398612;1
ENSMUSG00000011884;Gltp;5;114807459;114829045;-1
ENSMUSG00000011958;Bnip2;9;69896748;69915599;1
ENSMUSG00000011960;Ccnt1;15;98436570;98468804;-1
ENSMUSG00000012017;Scarf2;16;17615146;17626157;1
ENSMUSG00000012076;Brms1l;12;55883109;55916521;1
ENSMUSG00000012114;Med15;16;17469072;17550755;-1
ENSMUSG00000012117;Dhdds;4;133696339;133728229;-1
ENSMUSG00000012123;Crybg2;4;133788126;133819815;1
ENSMUSG00000012126;Ubxn11;4;133829881;133854904;1
ENSMUSG00000012187;Mogat1;1;78487628;78514810;1
ENSMUSG00000012296;Tjap1;17;46568777;46593952;-1
ENSMUSG00000012350;Ehf;2;103093778;103133623;-1
ENSMUSG00000012396;Nanog;6;122684448;122691592;1
ENSMUSG00000012405;Rpl15;14;4198305;4201873;1
ENSMUSG00000012422;Tmem167;13;90237242;90292026;1
ENSMUSG00000012428;Steap4;5;8010457;8032213;1
ENSMUSG00000012429;Mplkip;13;17869777;17874333;1
ENSMUSG00000012443;Kif11;19;37364851;37410307;1
ENSMUSG00000012483;Rpa3;6;8255936;8259173;-1
ENSMUSG00000012519;Mlkl;8;112038429;112064809;-1
ENSMUSG00000012535;Tnpo3;6;29540826;29609886;-1
ENSMUSG00000012609;Ttll5;12;85871433;86108667;1
ENSMUSG00000012640;Zfp715;7;42945621;42962718;-1
ENSMUSG00000012705;Retn;8;3705770;3710110;1
ENSMUSG00000012819;Cdh23;10;60138527;60532269;-1
ENSMUSG00000012848;Rps5;7;12656217;12660613;1
ENSMUSG00000013033;Adgrl1;8;84626734;84668583;1
ENSMUSG00000013076;Amotl1;9;14453262;14556352;-1
ENSMUSG00000013089;Etv5;16;22200059;22258469;-1
ENSMUSG00000013091;Tmem190;7;4785936;4787340;1
ENSMUSG00000013150;Gfod2;8;106440486;106485296;-1
ENSMUSG00000013155;Enkd1;8;106430283;106434842;-1
ENSMUSG00000013160;Atp6v0d1;8;106251097;106292679;-1
ENSMUSG00000013236;Ptprs;17;56719426;56783483;-1
ENSMUSG00000013275;Slc41a1;1;131755231;131776603;1
ENSMUSG00000013338;Fer1l4;2;155861059;155894867;-1
ENSMUSG00000013353;4931406B18Rik;7;43141468;43155364;-1
ENSMUSG00000013367;Iglon5;7;43122328;43139499;-1
ENSMUSG00000013415;Igf2bp1;11;95847989;95896766;-1
ENSMUSG00000013419;Zfp651;9;121588396;121600808;1
ENSMUSG00000013465;Nelfb;2;25089724;25101501;-1
ENSMUSG00000013483;Card14;11;119198594;119236201;1
ENSMUSG00000013495;Tmem175;5;108777636;108796648;1
ENSMUSG00000013539;Tango2;16;18118689;18165967;-1
ENSMUSG00000013584;Aldh1a2;9;71123071;71203525;1
ENSMUSG00000013593;Ndufs2;1;171062422;171078957;-1
ENSMUSG00000013611;Snx31;15;36504208;36555718;-1
ENSMUSG00000013622;Atraid;5;31205656;31211967;1
ENSMUSG00000013629;Cad;5;31212124;31235823;1
ENSMUSG00000013646;Sh3bp5l;11;58221550;58238554;1
ENSMUSG00000013662;Atad1;19;32649038;32717186;-1
ENSMUSG00000013663;Pten;19;32734897;32803560;1
ENSMUSG00000013668;4933402N03Rik;7;130739442;130748043;-1
ENSMUSG00000013698;Pea15a;1;172024295;172034371;-1
ENSMUSG00000013701;Timm23;14;31902119;31923855;-1
ENSMUSG00000013736;Trnt1;6;106746081;106759435;1
ENSMUSG00000013766;Ly6g6e;17;35295878;35297780;1
ENSMUSG00000013787;Ehmt2;17;35117445;35133028;1
ENSMUSG00000013822;Elof1;9;22024285;22028468;-1
ENSMUSG00000013833;Med16;10;79730542;79744757;-1
ENSMUSG00000013846;St3gal1;15;66974724;67048679;-1
ENSMUSG00000013858;Tmem259;10;79810782;79820164;-1
ENSMUSG00000013878;Rnf170;8;26609396;26641818;1
ENSMUSG00000013921;Clip3;7;29991153;30007792;1
ENSMUSG00000013928;1700020L13Rik;7;29979519;29989662;1
ENSMUSG00000013973;Dedd;1;171156713;171169899;1
ENSMUSG00000013997;Nit1;1;171165576;171173214;-1
ENSMUSG00000014030;Pax5;4;44524757;44710487;-1
ENSMUSG00000014039;Prdm15;16;97592667;97653050;-1
ENSMUSG00000014074;Rnf168;16;32096277;32120252;1
ENSMUSG00000014075;Dynlt2b;16;32238520;32247917;1
ENSMUSG00000014077;Chp1;2;119378178;119417508;1
ENSMUSG00000014158;Trpv4;5;114760213;114796482;-1
ENSMUSG00000014164;Klhl3;13;58148042;58261406;-1
ENSMUSG00000014177;Tvp23b;11;62770281;62807606;1
ENSMUSG00000014195;Dnajc7;11;100473644;100511014;-1
ENSMUSG00000014226;Cacybp;1;160029937;160040445;-1
ENSMUSG00000014232;Cluap1;16;3726665;3759011;1
ENSMUSG00000014243;Zswim7;11;62158050;62172201;-1
ENSMUSG00000014245;Pigl;11;62349286;62405243;1
ENSMUSG00000014294;Ndufa2;18;36875385;36877610;-1
ENSMUSG00000014301;Pam16;16;4434328;4442852;-1
ENSMUSG00000014303;Glis2;16;4412577;4442788;1
ENSMUSG00000014313;Cox6c;15;35926032;35938392;-1
ENSMUSG00000014329;Bicc1;10;70758662;70995530;-1
ENSMUSG00000014349;Ube2z;11;95938258;95956214;-1
ENSMUSG00000014353;Tmem87b;2;128660038;128696181;1
ENSMUSG00000014355;Anapc1;2;128452024;128529311;-1
ENSMUSG00000014361;Mertk;2;128540876;128644814;1
ENSMUSG00000014402;Tsg101;7;46538697;46569717;-1
ENSMUSG00000014418;Hps5;7;46409890;46445488;-1
ENSMUSG00000014426;Map3k4;17;12446508;12537683;-1
ENSMUSG00000014444;Piezo1;8;123208437;123278068;-1
ENSMUSG00000014470;Rnf166;8;123192886;123202803;-1
ENSMUSG00000014496;Ankrd28;14;31420725;31552608;-1
ENSMUSG00000014498;Ankrd52;10;128212984;128244573;1
ENSMUSG00000014503;Pkd2l2;18;34541542;34577169;1
ENSMUSG00000014504;Srp19;18;34463900;34469652;1
ENSMUSG00000014529;Tmbim7;5;3701181;3730325;1
ENSMUSG00000014547;Wdfy2;14;63075127;63198958;1
ENSMUSG00000014550;Rbsn;6;92163693;92191906;-1
ENSMUSG00000014551;Mrps25;6;92146506;92161014;-1
ENSMUSG00000014554;Dguok;6;83457199;83483951;-1
ENSMUSG00000014592;Camta1;4;151001779;151946333;-1
ENSMUSG00000014599;Csf1;3;107648364;107667785;-1
ENSMUSG00000014601;Strip1;3;107519848;107539010;-1
ENSMUSG00000014602;Kif1a;1;92943186;93029673;-1
ENSMUSG00000014606;Slc25a11;11;70535022;70538305;-1
ENSMUSG00000014633;Cmc2;8;117615424;117648194;-1
ENSMUSG00000014668;Chfr;5;110283708;110319838;1
ENSMUSG00000014704;Hoxa2;6;52139397;52141811;-1
ENSMUSG00000014725;Adam28;14;68843476;68893291;-1
ENSMUSG00000014748;Tex261;6;83745867;83752795;-1
ENSMUSG00000014763;Fam120b;17;15616464;15653845;1
ENSMUSG00000014767;Tbp;17;15720150;15748641;1
ENSMUSG00000014769;Psmb1;17;15695283;15720013;-1
ENSMUSG00000014771;Pdcd2;17;15739470;15747563;-1
ENSMUSG00000014773;Dll1;17;15587616;15597134;-1
ENSMUSG00000014776;Nol3;8;106002772;106008571;1
ENSMUSG00000014778;Fhod1;8;106055795;106074585;-1
ENSMUSG00000014786;Slc9a5;8;106075475;106096513;1
ENSMUSG00000014791;Elmo3;8;106032233;106037392;1
ENSMUSG00000014813;Stc1;14;69266687;69279253;1
ENSMUSG00000014837;4931428F04Rik;8;106007041;106016496;-1
ENSMUSG00000014846;Tppp3;8;106194125;106198158;-1
ENSMUSG00000014850;Msh3;13;92348380;92491511;-1
ENSMUSG00000014852;Adamts13;2;26863428;26899640;1
ENSMUSG00000014856;Tmem208;8;106052986;106061851;1
ENSMUSG00000014859;E2f4;8;106024295;106032002;1
ENSMUSG00000014867;Surf4;2;26810052;26823940;-1
ENSMUSG00000014873;Surf2;2;26806379;26810195;1
ENSMUSG00000014905;Dnajb9;12;44252342;44257109;-1
ENSMUSG00000014907;Naf1;8;67312869;67343216;1
ENSMUSG00000014932;Yes1;5;32768515;32844401;1
ENSMUSG00000014956;Ppp1cb;5;32616187;32674777;1
ENSMUSG00000014959;Gorasp2;2;70491920;70542980;1
ENSMUSG00000014980;Tsen15;1;152246486;152262439;-1
ENSMUSG00000015002;Efr3a;15;65658883;65745665;1
ENSMUSG00000015013;Trappc2l;8;123338379;123343399;1
ENSMUSG00000015016;Acsf3;8;123502225;123544619;1
ENSMUSG00000015023;Ddx19a;8;111701628;111724432;-1
ENSMUSG00000015027;Galns;8;123304981;123338202;-1
ENSMUSG00000015053;Gata2;6;88170873;88184014;1
ENSMUSG00000015083;C8g;2;25388663;25391731;-1
ENSMUSG00000015085;Entpd2;2;25285886;25291333;1
ENSMUSG00000015087;Rabl6;2;25473030;25498533;-1
ENSMUSG00000015090;Ptgds;2;25356721;25360058;-1
ENSMUSG00000015092;Edf1;2;25447859;25452094;1
ENSMUSG00000015093;Clic3;2;25346850;25348788;1
ENSMUSG00000015094;Npdc1;2;25289363;25299506;1
ENSMUSG00000015095;Fbxw5;2;25390762;25395483;1
ENSMUSG00000015112;Slc25a13;6;6041218;6217173;-1
ENSMUSG00000015120;Ube2i;17;25480890;25493596;-1
ENSMUSG00000015126;Tsr3;17;25459144;25461772;1
ENSMUSG00000015127;Unkl;17;25407371;25453417;1
ENSMUSG00000015133;Lrrk1;7;65876660;66038098;-1
ENSMUSG00000015134;Aldh1a3;7;66040638;66077265;-1
ENSMUSG00000015143;Actn1;12;80214321;80307145;-1
ENSMUSG00000015149;Sirt2;7;28466160;28488086;1
ENSMUSG00000015165;Hnrnpl;7;28507966;28521691;1
ENSMUSG00000015176;Nolc1;19;46064302;46073969;1
ENSMUSG00000015189;Casd1;6;4600839;4643355;1
ENSMUSG00000015202;Cnksr3;10;7069063;7162237;-1
ENSMUSG00000015214;Mtmr1;X;70408366;70462802;1
ENSMUSG00000015217;Hmgb3;X;70599524;70604282;1
ENSMUSG00000015222;Map2;1;66214432;66481742;1
ENSMUSG00000015224;Cyp2j9;4;96456666;96479815;-1
ENSMUSG00000015243;Abca1;4;53030787;53159895;-1
ENSMUSG00000015247;Nipsnap3b;4;53011880;53022060;1
ENSMUSG00000015289;Lage3;X;73394882;73397224;-1
ENSMUSG00000015290;Ubl4a;X;73409324;73416824;-1
ENSMUSG00000015291;Gdi1;X;73348604;73355468;1
ENSMUSG00000015305;Sash1;10;8597983;8761814;-1
ENSMUSG00000015312;Gadd45b;10;80765907;80768038;1
ENSMUSG00000015314;Slamf6;1;171745082;171780737;1
ENSMUSG00000015316;Slamf1;1;171594695;171628752;1
ENSMUSG00000015335;Zdhhc12;2;29980956;29983660;-1
ENSMUSG00000015337;Endog;2;30061505;30064081;1
ENSMUSG00000015340;Cybb;X;9301491;9354010;-1
ENSMUSG00000015341;Golga7;8;23731362;23747090;-1
ENSMUSG00000015342;Xk;X;9138995;9179489;1
ENSMUSG00000015354;Pcolce2;9;95519654;95580149;1
ENSMUSG00000015355;Cd48;1;171509577;171532826;1
ENSMUSG00000015357;Clpx;9;65201542;65237940;1
ENSMUSG00000015363;Trabd;15;88959327;88971280;1
ENSMUSG00000015377;Dennd6b;15;89066416;89080699;-1
ENSMUSG00000015396;Cd83;13;43938251;43956608;1
ENSMUSG00000015401;Cltrn;X;162871826;162901856;1
ENSMUSG00000015405;Ace2;X;162922328;162971416;1
ENSMUSG00000015451;C4a;17;35028069;35042440;-1
ENSMUSG00000015452;Ager;17;34816836;34819910;1
ENSMUSG00000015461;Atf6b;17;34866120;34874048;1
ENSMUSG00000015468;Notch4;17;34783242;34807477;1
ENSMUSG00000015474;Ppt2;17;34835636;34847484;-1
ENSMUSG00000015476;Prrt1;17;34848507;34852100;1
ENSMUSG00000015478;Rnf5;17;34820065;34822664;-1
ENSMUSG00000015484;Fam163a;1;155951712;156032596;-1
ENSMUSG00000015488;Cacfd1;2;26899938;26911101;1
ENSMUSG00000015501;Hivep2;10;13841819;14027118;1
ENSMUSG00000015522;Arnt;3;95341699;95404551;1
ENSMUSG00000015533;Itga2;13;114969617;115068636;-1
ENSMUSG00000015536;Mocs2;13;114954772;114968811;1
ENSMUSG00000015542;Nat9;11;115073658;115078685;-1
ENSMUSG00000015568;Lpl;8;69333143;69360100;1
ENSMUSG00000015575;Atp6v0e;17;26882205;26918621;1
ENSMUSG00000015597;Zfp318;17;46694657;46731846;1
ENSMUSG00000015599;Ttbk1;17;46753374;46798601;-1
ENSMUSG00000015605;Srf;17;46859255;46867101;-1
ENSMUSG00000015619;Gata3;2;9861889;9894845;-1
ENSMUSG00000015627;Gata5;2;179966926;179976492;-1
ENSMUSG00000015647;Lama5;2;179818166;179867652;-1
ENSMUSG00000015652;Steap1;5;5786317;5799326;-1
ENSMUSG00000015653;Steap2;5;5714829;5744578;-1
ENSMUSG00000015656;Hspa8;9;40712280;40721383;1
ENSMUSG00000015659;Serac1;17;6092471;6130016;-1
ENSMUSG00000015668;Pdzd11;X;99666489;99670174;-1
ENSMUSG00000015671;Psma2;13;14787825;14848821;1
ENSMUSG00000015672;Mrpl32;13;14782769;14787750;-1
ENSMUSG00000015697;Setdb1;3;95230836;95264513;-1
ENSMUSG00000015702;Anxa9;3;95203407;95214487;-1
ENSMUSG00000015709;Arnt2;7;83895486;84059384;-1
ENSMUSG00000015711;Prune1;3;95160985;95189387;-1
ENSMUSG00000015714;Cers2;3;95222102;95230910;1
ENSMUSG00000015721;Nlrp5;7;23085314;23141347;1
ENSMUSG00000015733;Capza2;6;17636233;17666971;1
ENSMUSG00000015745;Plekho1;3;95895741;95903313;-1
ENSMUSG00000015747;Vps45;3;95907144;95965778;-1
ENSMUSG00000015748;Prpf3;3;95737436;95763197;-1
ENSMUSG00000015749;Anp32e;3;95836558;95854702;1
ENSMUSG00000015750;Aph1a;3;95801281;95805600;1
ENSMUSG00000015755;Tab2;10;7781417;7831994;-1
ENSMUSG00000015757;Ppil4;10;7668655;7698899;1
ENSMUSG00000015759;Cnih1;14;47013024;47025868;-1
ENSMUSG00000015766;Eps8;6;137454243;137631874;-1
ENSMUSG00000015776;Med22;2;26795274;26800689;-1
ENSMUSG00000015790;Surf1;2;26803393;26806542;-1
ENSMUSG00000015804;Med28;5;45677571;45686618;1
ENSMUSG00000015806;Qdpr;5;45591363;45607578;-1
ENSMUSG00000015812;Gnrh1;14;67982630;67986888;1
ENSMUSG00000015829;Tnr;1;159351339;159759299;1
ENSMUSG00000015837;Sqstm1;11;50090193;50101654;-1
ENSMUSG00000015839;Nfe2l2;2;75505857;75534985;-1
ENSMUSG00000015846;Rxra;2;27566452;27652969;1
ENSMUSG00000015850;Adamtsl4;3;95583511;95595228;-1
ENSMUSG00000015852;Fcrls;3;87158065;87171045;-1
ENSMUSG00000015869;Prpsap1;11;116361671;116385028;-1
ENSMUSG00000015879;Fam184b;5;45687047;45796956;-1
ENSMUSG00000015880;Ncapg;5;45827261;45857888;1
ENSMUSG00000015882;Lcorl;5;45854523;46014957;-1
ENSMUSG00000015889;Lta4h;10;93289273;93320737;1
ENSMUSG00000015932;Dstn;2;143757240;143785244;1
ENSMUSG00000015937;Macroh2a1;13;56221432;56284174;-1
ENSMUSG00000015942;Gtf2ird2;5;134212858;134253209;1
ENSMUSG00000015943;Bola1;3;96103904;96127025;-1
ENSMUSG00000015944;Castor2;5;134128550;134173182;1
